Quarterly,Doanh_thu
2010-Q1,529.7395156
2010-Q2,657.6246347
2010-Q3,651.7739349
2010-Q4,915.7134057
2011-Q1,1897.643098
2011-Q2,1019.300388
2011-Q3,858.1533869
2011-Q4,1239.441666
2012-Q1,1372.764872
2012-Q2,1042.652069
2012-Q3,814.4267577
2012-Q4,1063.010006
2013-Q1,1011.89183
2013-Q2,872.5514847
2013-Q3,910.1872941
2013-Q4,1289.426942
2014-Q1,1044.754851
2014-Q2,1054.29134
2014-Q3,1415.100748
2014-Q4,989.0586174
2015-Q1,770.3321142
2015-Q2,640.0744912
2015-Q3,598.1366336
2015-Q4,732.7533086
2016-Q1,537.0642073
2016-Q2,657.5600343
2016-Q3,632.5993187
2016-Q4,697.975116
2017-Q1,896.7395739
2017-Q2,737.0591137
2017-Q3,903.9755767
2017-Q4,1016.707719
2018-Q1,962.7070832
2018-Q2,1000.170209
2018-Q3,1021.491023
2018-Q4,1070.565077
2019-Q1,917.9938221
2019-Q2,788.5791309
2019-Q3,794.8355784
2019-Q4,979.0531613
2020-Q1,833.1637681
2020-Q2,691.2151909
2020-Q3,837.9511652
2020-Q4,1095.635806
2021-Q1,1237.454431
2021-Q2,820.8001688
2021-Q3,986.5800703
2021-Q4,1075.286722
2022-Q1,1214.115447
2022-Q2,1156.79021
2022-Q3,1100.78508
2022-Q4,1129.697285
2023-Q1,957.7986948
2023-Q2,850.5033798
2023-Q3,1056.429861
2023-Q4,1527.614439
